Site	Agriculture	taxa_1	taxa_2	taxa_3	taxa_4	taxa_11	taxa_12	taxa_15	taxa_16	taxa_17	taxa_18	taxa_19	taxa_20	taxa_21	taxa_22	taxa_23	taxa_24	taxa_26	taxa_28	taxa_30	taxa_32	taxa_33	taxa_34	taxa_35	taxa_37	taxa_38	taxa_39	taxa_40	taxa_41	taxa_42	taxa_44	taxa_46	taxa_48	taxa_49	taxa_50	taxa_51	taxa_53	taxa_54	taxa_57	taxa_58	taxa_60	taxa_62	taxa_63	taxa_65	taxa_66	taxa_67	taxa_68	taxa_69	taxa_71	taxa_72	taxa_73	taxa_74	taxa_75	taxa_77	taxa_78	taxa_79	taxa_80	taxa_81	taxa_82	taxa_83
site_1	79.99	0	1	0	19	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	13	0	4	0	41	1	0	2	0	0	0	1	1	296	0	0	0	18	0	1	56	2	0	2	1	0	10	0	1	0	0	0	0	0	12	0	0
site_2	1.02	3	0	0	34	1	1	1	0	0	9	0	0	0	4	2	0	1	0	27	2	0	4	0	0	2	4	161	0	6	0	0	0	0	1	29	905	0	7	0	502	0	4	162	1	1	450	42	6	15	2	0	1	3	43	19	0	1	0	4
site_3	4.54	1	1	0	21	0	1	0	0	0	14	0	0	0	6	4	0	0	0	16	3	0	0	0	0	0	4	230	0	4	0	10	0	0	0	15	1028	0	6	0	22	1	255	56	66	1	109	211	0	1	1	0	0	6	1	14	0	3	0	8
site_4	53.84	1	0	2	16	30	5	0	0	0	6	0	0	7	3	0	0	0	1	0	0	8	2	1	0	0	2	30	0	1	0	0	0	0	0	11	1209	0	2	0	5	1	2	28	0	0	25	20	1	8	0	0	0	0	6	2	2	1	0	1
site_5	25.44	0	0	0	83	11	0	0	0	0	1	0	0	0	19	0	0	0	0	2	0	0	0	0	90	0	2	1	0	1	0	0	0	0	0	3	343	11	4	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
site_6	54.68	0	0	0	0	0	1	0	0	0	0	0	0	4	2	0	0	0	0	2	0	3	0	0	0	1	0	6	0	0	0	0	0	1	0	3	525	0	4	0	8	1	6	121	0	0	49	0	74	1	1	0	4	0	9	0	2	3	0	0
site_7	19.91	0	1	0	11	0	0	0	0	1	2	1	0	1	7	0	2	0	0	0	0	6	0	3	1	0	0	2	2	0	0	0	0	1	0	6	248	3	0	1	5	0	7	15	0	0	15	24	4	2	2	1	0	0	0	0	7	1	0	0
site_8	90.62	0	1	0	0	0	2	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	3	0	1	1	4	0	1	0	0	1	0	1	0	237	0	0	0	4	0	0	13	0	0	25	1	4	0	0	0	1	0	3	0	0	13	0	0
site_9	5.85	1	0	0	15	2	2	1	2	9	46	0	0	14	11	3	5	2	0	38	11	2	10	2	0	0	11	542	3	2	0	12	0	0	2	11	1201	0	3	1	30	5	115	176	2	3	177	264	0	40	2	3	7	5	15	4	16	12	0	22
site_10	5.78	0	0	0	13	5	0	0	0	4	14	0	0	13	20	0	0	0	0	6	0	0	0	0	0	1	3	14	0	0	0	0	1	0	0	27	1759	0	7	3	0	1	12	7	34	0	4	9	6	2	0	0	0	0	40	0	3	4	0	0
site_11	84.83	0	0	3	15	17	0	0	0	0	1	0	0	3	0	2	0	0	0	5	13	0	0	0	0	6	5	257	0	1	11	0	0	1	1	7	688	1	0	0	6	0	2	3	21	0	26	25	20	0	29	0	0	0	2	0	86	12	0	0
site_12	81.39	0	0	0	29	1	0	0	0	0	0	0	0	5	0	0	0	0	1	5	0	1	2	0	0	0	5	144	1	0	0	0	0	1	0	12	644	0	1	1	12	4	10	34	2	0	83	112	0	23	0	0	1	1	25	0	5	4	0	0
site_13	46.21	2	1	0	296	2	0	0	0	2	3	0	0	4	8	1	0	0	0	0	0	0	3	0	0	0	0	9	0	1	0	0	0	0	0	0	300	0	1	0	20	0	0	34	0	0	86	25	3	0	0	0	2	0	18	0	0	1	1	0
site_14	22.37	0	0	1	4	0	0	0	0	2	10	0	1	4	10	0	3	0	0	15	0	0	7	0	0	0	0	239	5	0	0	25	0	0	5	2	413	1	0	0	21	1	5	118	97	0	276	304	4	9	2	0	51	4	9	4	14	7	0	4
site_15	75.66	0	0	0	41	0	0	0	0	3	4	1	0	9	4	3	0	0	0	2	0	2	2	0	1	0	11	22	0	0	3	0	0	1	2	31	1553	0	7	1	133	0	9	41	0	0	13	1	139	2	7	0	0	0	67	0	3	4	0	0
site_16	58.24	1	2	1	114	9	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	71	0	0	1	0	0	0	3	20	1447	1	14	10	209	0	2	145	0	0	57	3	11	8	1	0	25	0	23	7	1	0	2	0
site_17	63.07	0	0	0	331	0	0	2	0	0	5	0	0	1	1	2	0	0	0	2	0	1	2	3	1	0	31	233	0	0	3	0	0	0	9	12	1803	10	3	6	261	4	35	553	191	1	143	418	0	23	2	8	0	0	30	4	17	5	1	0
site_18	21.71	1	0	0	17	2	0	0	0	0	1	0	0	2	11	0	0	0	0	1	0	0	0	0	0	0	4	3	0	1	0	0	0	0	2	2	199	0	0	0	50	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
site_19	56.26	0	0	0	16	0	0	0	1	2	3	2	2	8	3	6	1	1	0	2	0	0	2	0	0	0	0	55	0	0	0	25	0	0	1	11	186	0	1	1	36	3	1	20	4	0	146	59	116	3	0	0	0	0	3	0	10	5	0	1
site_20	85.07	5	0	11	74	7	0	0	0	2	4	0	0	7	2	0	0	0	0	15	0	3	1	1	0	13	0	453	1	0	4	0	0	0	0	18	1406	0	11	0	41	0	0	30	0	0	8	10	0	1	0	0	0	0	19	0	0	1	0	0
site_21	44.42	0	0	0	2	1	1	0	2	0	2	0	0	12	6	0	7	0	4	52	1	1	0	0	0	0	19	26	1	0	0	1	0	0	0	5	953	0	0	0	60	4	2	227	52	0	25	86	4	0	0	0	0	0	0	0	2	6	0	1
site_22	61.49	0	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	9	217	0	2	1	8	0	7	20	1	0	60	1	5	0	0	0	2	0	4	0	0	5	0	0
site_23	79.64	0	0	0	26	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	7	0	129	1	0	11	5	0	1	0	4	147	0	2	0	14	1	1	26	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0
site_24	10.4	0	0	0	38	0	1	1	0	0	3	0	0	8	8	1	1	0	0	33	0	0	6	0	0	0	5	89	0	4	1	2	1	0	0	3	1200	0	31	0	334	0	5	35	2	0	834	6	7	0	0	0	9	0	13	2	1	1	0	4
site_25	71.24	0	0	0	145	0	0	1	0	0	2	0	0	3	3	0	0	0	0	0	0	1	1	0	0	0	4	82	4	1	1	0	0	1	4	9	1060	0	11	0	139	0	8	16	0	0	26	5	14	4	11	0	0	0	14	1	4	4	0	0
site_26	54.01	0	0	0	16	0	0	0	0	0	1	0	0	4	3	0	0	0	1	1	0	0	0	0	0	2	6	3	0	1	1	0	7	0	2	4	1634	1	0	0	6	0	32	0	1	0	0	11	0	2	6	0	0	0	5	0	0	0	0	0
site_27	61.7	2	0	0	11	2	0	1	0	1	0	0	0	1	3	0	1	0	0	3	0	0	0	0	0	0	0	17	0	0	0	0	0	0	1	16	183	0	22	0	78	1	5	30	1	3	152	5	45	4	0	0	0	0	2	8	0	3	1	0
site_28	56.78	2	0	1	38	0	0	0	1	0	5	0	0	26	13	2	0	2	0	3	0	0	1	0	0	2	20	97	1	3	2	0	0	0	1	24	2065	2	4	0	2	0	40	234	366	0	0	112	120	9	13	0	0	0	58	0	13	6	2	0
site_29	90.22	0	0	2	174	0	0	0	0	1	4	0	2	2	1	0	0	0	0	1	0	1	0	0	0	0	0	24	0	0	11	0	0	1	0	5	301	0	0	0	43	3	0	8	0	0	78	4	1	2	0	2	0	0	0	0	4	3	0	0
site_30	2.16	0	0	0	24	0	0	0	0	0	8	0	0	4	1	1	0	0	0	4	0	1	1	1	0	0	7	175	1	28	0	3	0	0	0	17	707	0	18	0	35	2	132	124	5	0	153	322	1	8	1	1	17	5	16	1	1	0	0	0
